"","var","population","frequency"
"1","A*01","Albania",0.1
"2","A*01","Albania pop 2",0.0972
"3","A*01","Albanian Kosovo",0.1542
"4","A*01","Algeria pop 2",0.1225
"5","A*01","Argentina Buenos Aires",0.119
"6","A*01","Argentina Buenos Aires pop 2",0.101
"7","A*01","Argentina Chiriguano",0.019
"8","A*01","Argentina Corrientes",0.084
"9","A*01","Argentina Cuyo Region",0.089
"10","A*01","Argentina La Plata",0.115
"11","A*01","Argentina Rosario Toba",0.081
"12","A*01","Argentina Salta Wichi pop 2",0
"13","A*01","Armenia Ghegharkunik",0.118
"14","A*01","Armenia living in  Iran",0.147
"15","A*01","Armenia living in Karabakh",0.116
"16","A*01","Armenia living in Lebanon",0.113
"17","A*01","Armenia living in USA",0.129
"18","A*01","Armenia Lori",0.127
"19","A*01","Armenia Shirak",0.112
"20","A*01","Armenia Syunik",0.124
"21","A*01","Armenia Yerevan",0.107
"22","A*01","Australia West Caucasian",0.185
"23","A*01","Austria",0.145
"24","A*01","Azores",0.116
"25","A*01","Azores Terceira Island",0.109
"26","A*01","Bangladesh Dhaka Bangalee",0.095
"27","A*01","Bolivia La Paz Aymaras",0.011
"28","A*01","Bolivia Quechua",0.0435
"29","A*01","Bosnia and Herzegovina",0.1343
"30","A*01","Bosnia and Herzegovina pop 2",0.1458
"31","A*01","Brazil   Paraná Caucasian",0.0959
"32","A*01","Brazil Curitiba-Parana Mixed",0.1127
"33","A*01","Brazil Minas Gerais State Mixed",0.081
"34","A*01","Brazil Para State",0.0672
"35","A*01","Brazil Parana Afro Brazilian",0.123
"36","A*01","Brazil Parana Cafuzo",0.092
"37","A*01","Brazil Parana Caucasian",0.099
"38","A*01","Brazil Parana Japanese",0.0156
"39","A*01","Brazil Parana Mixed race",0.051
"40","A*01","Brazil Parana Oriental",0
"41","A*01","Brazil Pernambuco Mixed",0.084
"42","A*01","Brazil Piaui Mixed",0.071
"43","A*01","Brazil REDOME Acre",0.085
"44","A*01","Brazil REDOME Alagoas",0.0872
"45","A*01","Brazil REDOME Amapa",0.0599
"46","A*01","Brazil REDOME Amazonas",0.0659
"47","A*01","Brazil REDOME Bahia",0.0746
"48","A*01","Brazil REDOME Ceara",0.0835
"49","A*01","Brazil REDOME Espirito Santo",0.0897
"50","A*01","Brazil REDOME Federal District",0.0885
"51","A*01","Brazil REDOME Goias",0.0927
"52","A*01","Brazil REDOME Maranhao",0.0798
"53","A*01","Brazil REDOME Mato Grosso",0.0907
"54","A*01","Brazil REDOME Mato Grosso do Sul",0.0882
"55","A*01","Brazil REDOME Minas Gerais",0.09
"56","A*01","Brazil REDOME Para",0.0638
"57","A*01","Brazil REDOME Paraiba",0.0862
"58","A*01","Brazil REDOME Parana",0.0998
"59","A*01","Brazil REDOME Pernambuco",0.081
"60","A*01","Brazil REDOME Piaui",0.0721
"61","A*01","Brazil REDOME Rio de Janeiro",0.0857
"62","A*01","Brazil REDOME Rio Grande do Norte",0.0873
"63","A*01","Brazil REDOME Rio Grande do Sul",0.1083
"64","A*01","Brazil REDOME Rondonia",0.0881
"65","A*01","Brazil REDOME Roraima",0.0675
"66","A*01","Brazil REDOME Santa Catarina",0.111
"67","A*01","Brazil REDOME Sao Paulo",0.0942
"68","A*01","Brazil REDOME Sergipe",0.0812
"69","A*01","Brazil REDOME Tocantins",0.0793
"70","A*01","Brazil Rio Grande do Norte Mestizo",0.087
"71","A*01","Brazil Rio Grande do Sul Black",0.042
"72","A*01","Brazil Rio Grande do Sul Caucasoid",0.105
"73","A*01","Brazil Rio Grande do Sul Mixed",0.087
"74","A*01","Brazil Sao Paulo Bauru Mixed",0.088
"75","A*01","Brazil Sao Paulo Mixed",0.067
"76","A*01","Brazil South East Cord Blood",0.0881
"77","A*01","Brazil South Ribeirao Preto",0.093
"78","A*01","Burkina Faso Fulani",0.133
"79","A*01","Burkina Faso Mossi",0.047
"80","A*01","Burkina Faso Rimaibe",0.032
"81","A*01","Cameroon Bakola Pygmy",0.0304
"82","A*01","Cameroon Bamileke 2",0
"83","A*01","Cameroon Ewondo",0.026
"84","A*01","Cameroon Podokwo",0.012
"85","A*01","Cameroon Uldeme",0.014
"86","A*01","Chile Santiago",0.1027
"87","A*01","China Guangdong Province",0.0135
"88","A*01","China Harbin Korean",0.015
"89","A*01","China Harbin Manchu",0.045
"90","A*01","China Jiangsu Province",0.031
"91","A*01","China North Han",0
"92","A*01","China Shaanxi Province Han",0.045
"93","A*01","China Shandong Province",0.041
"94","A*01","China Shandong Province Linqu County",0.011
"95","A*01","China Shanghai",0.024
"96","A*01","China Wuhan",0.017
"97","A*01","Colombia Barranquilla",0.048
"98","A*01","Colombia San Basilio de Palenque",0.06
"99","A*01","Croatia pop 2",0.157
"100","A*01","Croatia pop 3",0.1333
"101","A*01","Cuba Mixed",0.08
"102","A*01","Cuba Mixed pop 2",0.067
"103","A*01","Cuba Mixed Race",0.071
"104","A*01","Czech Republic Kurd",0.1622
"105","A*01","Czech Republic Romani  pop 2",0.2174
"106","A*01","Ecuador Amazonia Mixed Ancestry",0.0128
"107","A*01","Ecuador Andes Mixed Ancestry",0.0413
"108","A*01","Ecuador Coast Mixed Ancestry",0.042
"109","A*01","Ecuador Mixed Ancestry",0.0384
"110","A*01","England Lancaster",0.2145
"111","A*01","England Leeds",0.1906
"112","A*01","England Liverpool",0.1943
