clade	lineage
19A	B
19A	B.10
19A	B.11
19A	B.1.14
19A	B.12
19A	B.13
19A	B.15
19A	B.18
19A	B.19
19A	B.20
19A	B.23
19A	B.26
19A	B.27
19A	B.28
19A	B.29
19A	B.3
19A	B.30
19A	B.3.1
19A	B.31
19A	B.32
19A	B.33
19A	B.34
19A	B.35
19A	B.36
19A	B.37
19A	B.38
19A	B.39
19A	B.4
19A	B.40
19A	B.4.1
19A	B.41
19A	B.42
19A	B.43
19A	B.4.4
19A	B.4.5
19A	B.45
19A	B.4.6
19A	B.46
19A	B.4.7
19A	B.47
19A	B.4.8
19A	B.5
19A	B.51
19A	B.52
19A	B.53
19A	B.55
19A	B.57
19A	B.58
19A	B.6
19A	B.60
19A	B.6.1
19A	B.61
19A	B.6.3
19A	B.6.6
19A	B.6.8
19B	A
19B	A.1
19B	A.11
19B	A.12
19B	A.18
19B	A.19
19B	A.2
19B	A.21
19B	A.2.2
19B	A.2.3
19B	A.23
19B	A.23.1
19B	A.2.4
19B	A.24
19B	A.2.5
19B	A.25
19B	A.2.5.1
19B	A.2.5.2
19B	A.2.5.3
19B	A.26
19B	A.27
19B	A.28
19B	A.29
19B	A.3
19B	A.30
19B	A.4
19B	A.5
19B	A.6
19B	A.7
20A	AU.2
20A	B.1
20A	B.1.103
20A	B.1.104
20A	B.1.105
20A	B.1.106
20A	B.1.110
20A	B.1.110.1
20A	B.1.110.2
20A	B.1.110.3
20A	B.1.111
20A	B.1.112
20A	B.1.113
20A	B.1.124
20A	B.1.126
20A	B.1.127
20A	B.1.128
20A	B.1.13
20A	B.1.131
20A	B.1.134
20A	B.1.137
20A	B.1.139
20A	B.1.142
20A	B.1.143
20A	B.1.1.445
20A	B.1.145
20A	B.1.146
20A	B.1.147
20A	B.1.151
20A	B.1.153
20A	B.1.157
20A	B.1.159
20A	B.1.160
20A	B.1.160.10
20A	B.1.160.11
20A	B.1.160.12
20A	B.1.160.13
20A	B.1.160.14
20A	B.1.160.14_18580
20A	B.1.160.15
20A	B.1.160.16
20A	B.1.160.16_13923
20A	B.1.160.17
20A	B.1.160.19
20A	B.1.160.20
20A	B.1.160.22
20A	B.1.160.23
20A	B.1.160.25
20A	B.1.160.26
20A	B.1.160.28
20A	B.1.160.29
20A	B.1.160.30
20A	B.1.160.31
20A	B.1.160.32
20A	B.1.160.33
20A	B.1.160.7
